Grain Yield_15.5%mc_Kg ha-1,Max_LAI,Annual_ETc mm,Trt_code,Plant density plants ha-1,HI
17057.151013337963,4.435564304461942,774.6825119111052,1,84388.98293514087,0.5867532751347959
17161.257063279576,4.835313200915065,778.9389689915625,1,79879.47498559923,0.5884105575185512
14265.067528601725,4.31140412308063,768.7289473241324,1,78074.16108285141,0.5878963397015453
14452.493033248236,4.176203009277305,760.7819747551537,1,77500.08636900691,0.578961514959594
12444.753133507067,5.191046587926509,661.3262355817805,2,79838.20523665172,0.5498873309052871
10576.485929920293,4.77074010104622,636.4717012279937,2,78874.9711878782,0.5264294587071651
13030.177126306307,4.79016238338833,661.3239176237495,2,84963.05764898536,0.5627319452319355
14643.407321811756,5.024241316596223,653.4625253698254,2,72333.41394440645,0.5570236696347921
14542.89853197983,4.576680468154332,671.1858773552368,3,78020.22117685259,0.5956692721140922
14063.895676648308,4.59833950843354,667.2094726314753,3,79345.32652064995,0.5921013155583803
16521.4164017122,4.253725941755984,669.3613463959663,3,85537.13236282986,0.5944273445376691
14657.096968480731,5.024013554275864,694.2053327788149,3,83240.83350745188,0.5640013999208227
12884.578471279117,4.5460388516250285,615.2678858385121,4,80978.75102574674,0.5605041591522126
15107.347464947656,4.906150759747734,608.7638600534086,4,79222.3105105404,0.5813535120001749
11751.320615960645,4.3583046114983315,589.4692637898762,4,76351.93694131792,0.559976165062886
13584.933751305523,4.866695235210983,629.6214633595395,4,84411.6437791084,0.5727671683963587
11950.696603473725,4.142686096234312,593.7826754897347,5,76416.56786936666,0.5632353286415603
12991.075987438275,4.665086134794693,598.4199072780135,5,78648.23579669591,0.5497050253874687
9741.812356623699,4.562256221665473,572.9267138147836,5,74629.71279978444,0.5204232472779694
10414.78739208717,4.181834371029312,579.6032595369355,5,80944.53465207388,0.5431550172604269
12070.587682573703,5.115378631947323,600.4569873474109,6,78020.22117685259,0.5483064183553322
12367.266114994123,5.148733705161854,589.0956743467717,6,78648.23579669591,0.5518514494503252
13356.171310972004,4.89762930969775,617.3407953569815,6,88943.8125726176,0.5679948196817926
13433.918708053401,4.84719137827679,595.349309090345,6,79312.95388641059,0.5795870048294065
12721.110132508804,4.365631286012995,645.9664621063788,7,82092.68407976288,0.6042345398505322
14422.48947627595,4.625006780135714,636.9979999217048,7,83814.90822129637,0.5969359724836546
16108.078514789115,4.593019256777836,648.3459868146911,7,80944.53465207388,0.6005462033737483
15595.03631434973,4.430865387631668,632.3642228069051,7,86685.28179051883,0.5853059088402189
13444.348367050337,4.2230806087628965,574.4453746124789,8,77500.08636900691,0.6127340775136112
13896.367785230774,4.517730231655825,581.5508647368102,8,86111.20707667436,0.6164258893623529
10812.329477588968,4.037322841096873,566.3733732074841,8,73481.56337209544,0.5511697703375036
12308.903620417059,4.479222575708437,539.3442155019222,8,78074.16108285141,0.577782782940124
12013.449249018848,4.252050234227051,562.5010633772617,9,78179.91168803329,0.5572850495617196
13773.302985446511,4.885636299494822,565.3075079181758,9,82756.22498277795,0.596746163954364
10867.410558166122,4.552592565731915,541.491756869377,9,75777.86222747344,0.5717336323891395
11501.49111133185,4.285529589174828,536.4410708989149,9,83240.83350745188,0.5575321901003203
10202.781067218239,4.230075797496467,536.7884638101066,10,74629.71279978444,0.5614025536545177
11220.797328869068,4.4599819967600896,538.0667650275301,10,86111.20707667436,0.5694165677253924
11457.50584822137,4.571950718050488,554.4426829047574,10,82666.75879360738,0.5206823159853442
13690.575319136906,4.479136548556429,549.647354882115,10,79222.3105105404,0.588897511635637
10234.18534009369,3.9569823184601924,548.2394568620649,11,84963.05764898536,0.5509613981454277
12930.206696573168,4.4530481189851265,545.3190838895706,11,79312.95388641059,0.6003756936215215
10639.459114756717,4.200517958525093,520.3411715468208,11,82712.08048154246,0.5758390502879809
11698.391454730432,4.104949360781957,509.9742947701816,11,84963.05764898536,0.5869965899053247
8833.045328469796,3.7027659181491206,466.68592593411927,12,77500.08636900691,0.570889412321862
9563.14980569141,3.7070121746829834,473.72108342020283,12,91103.16111010475,0.5072569140652086
12247.906243394804,4.099113727026394,491.21723591697963,12,82145.55938235381,0.6020383915089649
12098.357560443803,3.858248800360629,474.77922610275743,12,71284.11181843904,0.6016381863026449
16038.178389604638,4.706014954649656,671.7296607434301,1,78684.34621739654,0.5397119041290477
16062.967855797346,4.606905162951849,661.402184117964,1,74663.97816249306,0.4946838480045813
14997.055021094415,4.356503317592779,645.5359352107034,1,75238.3164560507,0.5072323069124743
11979.196622795625,3.9817430024002904,560.5223645562303,2,75812.65474960834,0.5165780291969864
14207.532953444499,4.116836974275401,562.8022710784289,2,74089.63986893541,0.48796710725498854
12578.231432087774,3.8981664558961375,570.4015166565875,2,80981.6993916271,0.5141940842589323
13539.119577483958,4.17112327484655,567.0527992926578,2,78110.0079238389,0.504192475561252
14980.63309094162,4.468156313163009,578.1223616321032,3,80981.6993916271,0.5462431471177325
15604.804401047137,4.339457938878211,571.0920408893302,3,78684.34621739654,0.5408922945890065
15023.463797148906,4.334170828263531,588.3367206074392,3,76961.33133672361,0.5343318136618294
15593.937385437868,4.957142672131737,586.8712080290435,3,76386.99304316599,0.5199581948143202
14820.52214199663,4.03357757288828,560.7806695060566,4,77535.66963028125,0.5398557428357744
